,builderName,State,District,Location,Highway,Railway,Metro,busStop,closestEducationalInstituteDistance,closestHospitalDistance,closestMallDistance,closestBusinessParkDistance,flatNumber,flatType,Area,noOfBathrooms,Parking,pricePerSqFeet,totalPrice,Gym,swimmingPool,Garden,yogaArea,playArea,shoppingArea,ATM/Finance
139,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1204,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
140,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1301,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
141,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1302,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
142,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1303,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
143,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1304,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
144,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1401,1,378,1,1,21500,8127000,1,0,1,1,1,0,0
145,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1402,2,570,2,1,21500,12255000,1,0,1,1,1,0,0
146,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1403,2,538,2,1,21500,11567000,1,0,1,1,1,0,0
147,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1404,2,520,2,1,21500,11180000,1,0,1,1,1,0,0
148,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1501,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
149,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1502,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
150,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1503,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
151,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1504,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
152,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1601,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
153,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1602,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
154,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1603,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
155,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1604,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
156,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1701,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
157,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1702,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
158,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1703,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
159,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1704,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
160,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1801,1,378,1,1,22000,8316000,1,0,1,1,1,0,0
161,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1802,2,570,2,1,22000,12540000,1,0,1,1,1,0,0
162,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1803,2,538,2,1,22000,11836000,1,0,1,1,1,0,0
163,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1804,2,520,2,1,22000,11440000,1,0,1,1,1,0,0
164,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1901,1,378,1,1,22500,8505000,1,0,1,1,1,0,0
165,Dem Phoenix,Maharastra,Mumbai,0,900,2000,1000,1000,1000,1900,1800,3800,1902,2,570,2,1,22500,12825000,1,0,1,1,1,0,0
